id,kickoff_time,home_team,away_team,home_team_score,away_team_score,finished
273,2024-03-09T15:00:00Z,3,17,,,False
274,2024-03-09T15:00:00Z,5,16,,,False
275,2024-03-09T15:00:00Z,7,15,,,False
276,2024-03-09T15:00:00Z,8,12,,,False
277,2024-03-09T15:00:00Z,11,13,,,False
278,2024-03-09T15:00:00Z,14,9,,,False
279,2024-03-09T15:00:00Z,19,6,,,False
280,2024-03-09T15:00:00Z,20,10,,,False
281,2024-03-16T15:00:00Z,1,7,,,False
282,2024-03-16T15:00:00Z,5,13,,,False
283,2024-03-16T15:00:00Z,6,4,,,False
284,2024-03-16T15:00:00Z,8,15,,,False
285,2024-03-16T15:00:00Z,9,11,,,False
286,2024-03-16T15:00:00Z,10,18,,,False
287,2024-03-16T15:00:00Z,12,16,,,False
288,2024-03-16T15:00:00Z,14,17,,,False
289,2024-03-16T15:00:00Z,19,2,,,False
290,2024-03-16T15:00:00Z,20,3,,,False
291,2024-03-30T15:00:00Z,2,20,,,False
292,2024-03-30T15:00:00Z,3,9,,,False
293,2024-03-30T15:00:00Z,4,14,,,False
294,2024-03-30T15:00:00Z,7,6,,,False
295,2024-03-30T15:00:00Z,11,5,,,False
296,2024-03-30T15:00:00Z,13,1,,,False
297,2024-03-30T15:00:00Z,15,19,,,False
298,2024-03-30T15:00:00Z,16,8,,,False
299,2024-03-30T15:00:00Z,17,10,,,False
300,2024-03-30T15:00:00Z,18,12,,,False
301,2024-04-02T18:45:00Z,1,12,,,False
302,2024-04-02T18:45:00Z,3,8,,,False
303,2024-04-02T18:45:00Z,4,5,,,False
304,2024-04-02T18:45:00Z,6,20,,,False
305,2024-04-02T18:45:00Z,16,10,,,False
306,2024-04-02T18:45:00Z,19,18,,,False
307,2024-04-03T18:45:00Z,7,14,,,False
308,2024-04-03T18:45:00Z,15,9,,,False
309,2024-04-03T19:00:00Z,11,17,,,False
310,2024-04-03T19:00:00Z,13,2,,,False
311,2024-04-06T14:00:00Z,2,4,,,False
312,2024-04-06T14:00:00Z,5,1,,,False
313,2024-04-06T14:00:00Z,8,13,,,False
314,2024-04-06T14:00:00Z,9,6,,,False
315,2024-04-06T14:00:00Z,10,15,,,False
316,2024-04-06T14:00:00Z,12,3,,,False
317,2024-04-06T14:00:00Z,14,11,,,False
318,2024-04-06T14:00:00Z,17,7,,,False
319,2024-04-06T14:00:00Z,18,16,,,False
320,2024-04-06T14:00:00Z,20,19,,,False
321,2024-04-13T14:00:00Z,1,2,,,False
322,2024-04-13T14:00:00Z,3,14,,,False
323,2024-04-13T14:00:00Z,4,17,,,False
324,2024-04-13T14:00:00Z,6,5,,,False
325,2024-04-13T14:00:00Z,7,9,,,False
326,2024-04-13T14:00:00Z,11,8,,,False
327,2024-04-13T14:00:00Z,13,12,,,False
328,2024-04-13T14:00:00Z,15,18,,,False
329,2024-04-13T14:00:00Z,16,20,,,False
330,2024-04-13T14:00:00Z,19,10,,,False
331,2024-04-20T14:00:00Z,2,3,,,False
332,2024-04-20T14:00:00Z,5,7,,,False
333,2024-04-20T14:00:00Z,8,19,,,False
334,2024-04-20T14:00:00Z,9,16,,,False
335,2024-04-20T14:00:00Z,10,11,,,False
336,2024-04-20T14:00:00Z,12,4,,,False
337,2024-04-20T14:00:00Z,14,15,,,False
338,2024-04-20T14:00:00Z,17,6,,,False
339,2024-04-20T14:00:00Z,18,13,,,False
340,2024-04-20T14:00:00Z,20,1,,,False
341,2024-04-27T14:00:00Z,2,7,,,False
342,2024-04-27T14:00:00Z,3,5,,,False
343,2024-04-27T14:00:00Z,9,4,,,False
344,2024-04-27T14:00:00Z,10,8,,,False
345,2024-04-27T14:00:00Z,14,6,,,False
346,2024-04-27T14:00:00Z,15,17,,,False
347,2024-04-27T14:00:00Z,16,13,,,False
348,2024-04-27T14:00:00Z,18,1,,,False
349,2024-04-27T14:00:00Z,19,11,,,False
350,2024-04-27T14:00:00Z,20,12,,,False
351,2024-05-04T14:00:00Z,1,3,,,False
352,2024-05-04T14:00:00Z,4,10,,,False
353,2024-05-04T14:00:00Z,5,2,,,False
354,2024-05-04T14:00:00Z,6,15,,,False
355,2024-05-04T14:00:00Z,7,19,,,False
356,2024-05-04T14:00:00Z,8,14,,,False
357,2024-05-04T14:00:00Z,11,18,,,False
358,2024-05-04T14:00:00Z,12,9,,,False
359,2024-05-04T14:00:00Z,13,20,,,False
360,2024-05-04T14:00:00Z,17,16,,,False
361,2024-05-11T14:00:00Z,2,11,,,False
362,2024-05-11T14:00:00Z,3,4,,,False
363,2024-05-11T14:00:00Z,9,17,,,False
364,2024-05-11T14:00:00Z,10,13,,,False
365,2024-05-11T14:00:00Z,14,1,,,False
366,2024-05-11T14:00:00Z,15,5,,,False
367,2024-05-11T14:00:00Z,16,7,,,False
368,2024-05-11T14:00:00Z,18,6,,,False
369,2024-05-11T14:00:00Z,19,12,,,False
370,2024-05-11T14:00:00Z,20,8,,,False
371,2024-05-19T15:00:00Z,1,9,,,False
372,2024-05-19T15:00:00Z,4,15,,,False
373,2024-05-19T15:00:00Z,5,14,,,False
374,2024-05-19T15:00:00Z,6,16,,,False
375,2024-05-19T15:00:00Z,7,3,,,False
376,2024-05-19T15:00:00Z,8,2,,,False
377,2024-05-19T15:00:00Z,11,20,,,False
378,2024-05-19T15:00:00Z,12,10,,,False
379,2024-05-19T15:00:00Z,13,19,,,False
380,2024-05-19T15:00:00Z,17,18,,,False
